Kotetsu Boku,[u'Joachim Hansen']
Zach Light,"[u'Tyron Woodley', u'Pete Spratt']"
Blas Avena,"[u'Jesse Lennox', u'Dave Terrel', u'Hiromitsu Miura', u'Joe Benoit', u'Tiki Ghosn', u'Logan Clark']"
Joao Zeferino,"[u'Elias Silverio', u'Rafael Natal']"
Derrick Lewis,"[u'Matt Mitrione', u'Guto Inocente', u'Jack May']"
Greg Wilson,[u'Matt Ricehouse']
Dimitiri Wanderley,[u'Lyoto Machida']
Vaughan Lee,"[u'Iuri Alcantara', u'Nam Phan', u'Raphael Assuncao', u'Motonobu Tezuka', u'T.J. Dillashaw', u'Norifumi Yamamoto', u'Chris Cariaso']"
Ricardo Funch,"[u'Dan Miller', u'Mike Pyle', u'Claude Patrick', u'Johny Hendricks']"
Tom Tuggle,[u'Daniel Puder']
Rob Kimmons,"[u'Dongi Yang', u'Kyle Noke', u'Steve Steinbeiss', u'Jorge Rivera', u'Joe Vedepo', u'Dan Miller', u'Rob Yundt']"
John Salter,"[u'Casey Huffman', u'Dan Miller', u'Jason MacDonald', u'Gerald Harris']"
Sean O'Connell,"[u'Gian Villante', u'Ryan Jimmo']"
Ross Pointon,"[u'Rich Clementi', u'Rory Singer', u'Michael Bisping']"
Alex Hunter,"[u'Harry Moskowitz', u'Sam Fulton']"
Marcus Jones,[u'Matt Mitrione']
Joachim Hansen,"[u'Tatsuya Kawajiri', u'Mitsuhiro Ishida', u'Hideo Tokoro', u'Hiroyuki Takaya', u'Bibiano Fernandes', u'Shinya Aoki', u'Kultar Gill', u'Shinya Aoki', u'Eddie Alvarez', u'Kotetsu Boku', u'Jason Ireland', u'Shinya Aoki', u'Luiz Azeredo', u'Hayato Sakurai', u'Yves Edwards', u'Masakazu Imanari']"
Derek Downey,[u'Nick Catone']
Sergei Kharitonov,"[u'Josh Barnett', u'Andrei Arlovski', u'Tatsuya Mizuno', u'Jeff Monson', u'Jimmy Ambriz', u'Alistair Overeem', u'Mike Russow', u'Aleksander Emelianenko', u'Alistair Overeem', u'Fabricio Werdum', u'Pedro Rizzo', u'Semmy Schilt', u'Murilo Rua', u'Cory Peterson', u'Jason Suttie']"
Sam Spengler,"[u'Joey Armstrong', u'Seth Kleinbeck', u'Frank Megallon']"
Colton Smith,"[u'Michael Chiesa', u'Robert Whittaker', u'Mike Ricci']"
Chris Sanford,[u'Josh Koscheck']
Stevie Lynch,[u'Dustin Hazelett']
Luis Santos,[u'Alex Serdyukov']
Jeff Curran,"[u'Johnny Eduardo', u'Scott Jorgensen', u'Dustin Neace', u'Takeya Mizugaki', u'Joseph Benavidez', u'Mike Brown', u'Urijah Faber', u'Stephen Ledbetter', u'Hatsu Hioki', u'Matt Serra', u'Todd Lally']"
Bobby McAndrews,[u'Kenny Florian']
Chad Mendes,"[u'Jose Aldo', u'Nik Lentz', u'Clay Guida', u'Darren Elkins', u'Yaotzin Meza', u'Cody McKenzie', u'Jose Aldo', u'Rani Yahya', u'Michihiro Omigawa', u'Javier Vazquez', u'Cub Swanson', u'Anthony Morrison', u'Erik Koch']"
Patrick Holohan,"[u'Chris Kelades', u'Josh Sampo']"
Karlos Vemola,"[u'Caio Magalhaes', u'Francis Carmont', u'Mike Massenzio', u'Ronny Markes', u'Seth Petruzelli', u'Jon Madsen']"
Yukio Sakaguchi,[u'Andy Ologun']
Jesse Bongfeldt,"[u'Chris Weidman', u'Rafael Natal']"
Brett Rogers,"[u'Josh Barnett', u'Alistair Overeem', u'Fedor Emelianenko', u'Andrei Arlovski', u'Abongo Humphrey', u'Jon Murphy', u'James Thompson']"
Jared Rosholt,"[u'Soa Palelei', u'Daniel Omielanczuk', u'Walt Harris']"
Scott Smith,"[u'Lumumba Sayers', u'Tarec Saffiedine', u'Paul Daley', u'Cung Le', u'Cung Le', u'Nick Diaz', u'Benji Radach', u'Terry Martin', u'Robbie Lawler', u'Robbie Lawler', u'Ed Herman', u'Patrick Cote', u'Pete Sell', u'David Terrell']"
Allan Goes,"[u'Alex Stiebling', u'Mark Coleman', u'Vernon White', u'Carl Malenko', u'Kazushi Sakuraba', u'Dan Henderson']"
Mark Bocek,"[u'John Alessio', u'Nik Lentz', u'Benson Henderson', u'Dustin Hazelett', u'Jim Miller', u'Joe Brammer', u'David Bielkheden', u'Alvin Robinson', u'Mac Danzig', u'Doug Evans', u'Frankie Edgar']"
Matthew Riddle,"[u'Che Mills', u'John Maguire', u'Chris Clements', u'Henry Martinez', u'Lance Benoist', u'Sean Pierson', u'DaMarques Johnson', u'Greg Soto', u'Nick Osipczak', u'Dan Cramer', u'Steve Bruno', u'Dante Rivera']"
John Howard,"[u'Brian Ebersole', u'Ryan LaFlare', u'Siyar Bahadurzada', u'Uriah Hall', u'Matt Brown', u'Thiago Alves', u'Jake Ellenberger', u'Daniel Roberts', u'Dennis Hallman', u'Tamdan McCrory', u'Chris Wilson']"
Tito Ortiz,"[u'Forrest Griffin', u'Rashad Evans', u'Ryan Bader', u'Matt Hamill', u'Forrest Griffin', u'Lyoto Machida', u'Rashad Evans', u'Chuck Liddell', u'Ken Shamrock', u'Ken Shamrock', u'Forrest Griffin', u'Vitor Belfort', u'Patrick Cote', u'Chuck Liddell', u'Randy Couture', u'Ken Shamrock', u'Vladimir Matyushenko', u'Elvis Sinosic', u'Evan Tanner', u'Yuki Kondo', u'Wanderlei Silva', u'Frank Shamrock', u'Guy Mezger', u'Jerry Bohlander', u'Wes Albritton', u'Guy Mezger']"
Joe Slick,"[u'Ikuhisa Minowa', u'Jason DeLucia']"
Gary Goodridge,"[u'Gegard Mousasi', u'Alistair Overeem', u'Paul Buentello', u'Don Frye', u'Dan Bobish', u'Fedor Emelianenko', u'Achmed Labasanov', u'Yoshiaki Yatsu', u'Valentijn Overeem', u'Yoshiaki Yatsu', u'Gilbert Yvel', u'Ricco Rodriguez', u'Igor Vovchanchyn', u'Osamu Tachihikari', u'Tom Erikson', u'Naoya Ogawa', u'Andre Roberts', u'Igor Vovchanchyn', u'Amir Rahnavardi', u'Marco Ruas', u'Oleg Taktarov', u'Don Frye', u'John Campetella', u'Mark Coleman', u'Mark Schultz', u'Jerry Bohlander', u'Don Frye', u'Paul Herrera']"
Harry Moskowitz,"[u'Andre Roberts', u'Alex Hunter']"
Phil Harris,"[u'Neil Seery', u'Louis Gaudinot', u'John Lineker', u'Ulysses Gomez', u'Darren Uyenoyama']"
Paul Buentello,"[u'Cheick Kongo', u'Stefan Struve', u'Kiril Sidelnikov', u'Gary Goodridge', u'Alistair Overeem', u'Carter Williams', u'Ruben Villareal', u'David Abbott', u'Gilbert Aldana', u'Andrei Arlovski', u'Kevin Jordan', u'Justin Eilers']"
Wayne Phillips,"[u'Damion Douglas', u'Fernando Bettega', u'Eric Lawson']"
Travis Wiuff,"[u'Muhammed Lawal', u'James Lee', u'Renato Sobral', u'Vladimir Matyushenko']"
Tsuyoshi Tamakairiki,[u'Akira Shoji']
Moti Horenstein,"[u'Mark Kerr', u'Mark Coleman']"
Davey Grant,[u'Chris Holdsworth']
Aleksander Emelianenko,"[u'Fabricio Werdum', u'Sergei Kharitonov', u'Josh Barnett', u'Pawel Nastula', u'Ricardo Morais', u'James Thompson', u'Mirko Filipovic', u'Matt Foki', u'Assuerio Silva']"
Kevin Lee,"[u'Jon Tuck', u'Jesse Ronson', u'Al Iaquinta']"
Ken Shamrock,"[u'Tito Ortiz', u'Tito Ortiz', u'Kazushi Sakuraba', u'Rich Franklin', u'Kimo Leopoldo', u'Tito Ortiz', u'Don Frye', u'Kazuyuki Fujita', u'Alexander Otsuka', u'Brian Johnston', u'Dan Severn', u'Kimo Leopoldo', u'Oleg Taktarov', u'Dan Severn', u'Royce Gracie', u'Christophe Leninger', u'Patrick Smith', u'Royce Gracie']"
Brandon Saling,[u'Roger Bowling']
Phil Johns,[u'Fabiano Iha']
Nordine Taleb,"[u'Jingliang Li', u'Vik Grujic']"
Josh Thomson,"[u'Bobby Green', u'Benson Henderson', u'Nate Diaz', u'Gilbert Melendez', u'KJ Noons', u'Tatsuya Kawajiri', u'Gesias Cavalcante', u'Pat Healy', u'Gilbert Melendez', u'Ashe Bowman', u'Gilbert Melendez', u'Adam Lynn', u'Nick Gonzalez', u'Nam Phan', u'Duane Ludwig', u'Harris Sarmiento', u'Clay Guida', u'Daisuke Sugie', u'Yves Edwards', u'Hermes Franca', u'Gerald Strebendt', u'Rob McCullough']"
Masakatsu Okuda,[u'Yoshihiro Akiyama']
Matt Skelton,[u'Tom Erikson']
Genki Sudo,"[u'Mike Brown', u'Duane Ludwig', u'Leigh Remedios']"
Josh Rafferty,[u'Alex Karalexis']
Rafael Natal,"[u'Chris Camozzi', u'Ed Herman', u'Tim Kennedy', u'Tor Troeng', u'Joao Zeferino', u'Sean Spencer', u'Andrew Craig', u'Michael Kuiper', u'Paul Bradley', u'Jesse Bongfeldt', u'Rich Attonito']"
Jake Shields,"[u'Hector Lombard', u'Demian Maia', u'Tyron Woodley', u'Ed Herman', u'Yoshihiro Akiyama', u'Jake Ellenberger', u'Georges St-Pierre', u'Martin Kampmann', u'Dan Henderson', u'Jason Miller', u'Robbie Lawler', u'Paul Daley', u'Nick Thompson', u'Mike Pyle', u'Renato Verissimo', u'Ido Pariente', u'Ray Steinbeiss', u'Carlos Condit', u'Yushin Okami', u'Dave Menne']"
Billy Evangelista,"[u'KJ Noons', u'Jorge Masvidal', u'Waachiim Spiritwolf', u'Jorge Gurgel', u'Mike Aina', u'Luke Caudillo', u'Nam Phan', u'Marlon Sims', u'Clint Coronel', u'Isaiah Hill']"
John Doyle,[u'Rafael Cavalcante']
Fernando Bettega,[u'Wayne Phillips']
Johnny Eduardo,"[u'Eddie Wineland', u'Jeff Curran', u'Raphael Assuncao']"
Matt Serra,"[u'Chris Lytle', u'Frank Trigg', u'Matt Hughes', u'Georges St-Pierre', u'Georges St-Pierre', u'Chris Lytle', u'Karo Parisyan', u'Ivan Menjivar', u'Jeff Curran', u'Din Thomas', u'BJ Penn', u'Kelly Dullanty', u'Yves Edwards', u'Shonie Carter']"
Ashe Bowman,[u'Josh Thomson']
Frank Shamrock,"[u'Nick Diaz', u'Cung Le', u'Phil Baroni', u'Renzo Gracie', u'Cesar Gracie', u'Bryan Pardoe', u'Tito Ortiz', u'John Lober', u'Jeremy Horn', u'Igor Zinoviev', u'Kevin Jackson']"
Efrain Escudero,"[u'Leonardo Santos', u'Mac Danzig', u'Jacob Volkmann', u'Charles Oliveira', u'Dan Lauzon', u'Evan Dunham', u'Cole Miller', u'Phillipe Nover']"
Alberto Crane,"[u'Kurt Pellegrino', u'Roger Huerta']"
Conor McGregor,"[u'Dustin Poirier', u'Diego Brandao', u'Max Holloway', u'Marcus Brimage']"
Dustin Ortiz,"[u'Joseph Benavidez', u'Justin Scoggins', u'Ray Borg', u'John Moraga', u'Jose Maria', u'Matt Horning', u'Justin Pennington']"
Hideo Tokoro,"[u'Yusup Saadulaev', u'Antonio Banuelos', u'Masakazu Imanari', u'Yoshiro Maeda', u'Atsushi Yamamoto', u'Kazuhisa Watanabe', u'Joachim Hansen', u'Akiyo Nishiura', u'Hiroyuki Takaya', u'Abel Cullum', u'Daiki Hata', u'Daisuke Nakamura', u'Atsushi Yamamoto', u'Takeshi Yamazaki', u'Darren Uyenoyama']"
Felipe Portela,[u'Brian Melancon']
Beneil Dariush,"[u'Tony Martin', u'Ramsey Nijem', u'Charlie Brenneman']"
Aaron Rosa,"[u'Matt Lucas', u'Joey Beltran', u'Rafael Cavalcante', u'Anthony Ruiz']"
BJ Penn,"[u'Frankie Edgar', u'Rory MacDonald', u'Nick Diaz', u'Jon Fitch', u'Matt Hughes', u'Frankie Edgar', u'Frankie Edgar', u'Diego Sanchez', u'Kenny Florian', u'Georges St-Pierre', u'Sean Sherk', u'Joe Stevenson', u'Jens Pulver', u'Matt Hughes', u'Georges St-Pierre', u'Renzo Gracie', u'Lyoto Machida', u'Rodrigo Gracie', u'Duane Ludwig', u'Matt Hughes', u'Takanori Gomi', u'Caol Uno', u'Matt Serra', u'Paul Creighton', u'Jens Pulver', u'Caol Uno', u'Din Thomas', u'Joey Gilbert']"
Junior Assuncao,"[u'Ross Pearson', u'Eddie Yagin', u'Nate Diaz', u'David Lee', u'Kurt Pellegrino']"
Josh Smith,[u'Alex Karalexis']
Stefan Struve,"[u'Mark Hunt', u'Stipe Miocic', u'Lavar Johnson', u'Dave Herman', u'Pat Barry', u'Travis Browne', u'Sean McCorkle', u'Christian Morecraft', u'Roy Nelson', u'Paul Buentello', u'Chase Gormley', u'Denis Stojnic']"
Stephen Thompson,"[u'Patrick Cote', u'Robert Whittaker', u'Chris Clements', u'Nah-Shon Burrell', u'Matt Brown', u'Dan Stittgen']"
Tom Blackledge,[u'Anthony Perosh']
Ryan Roberts,[u'Marcus Aurelio']
Brian Cobb,[u'Terry Etim']
Brian Warren,[u'Cung Le']
Jack Nilson,"[u'Saeed Hosseini', u'Tai Bowden']"
Alex Karalexis,"[u'Anthony Pettis', u'Greg McIntyre', u'Bart Palaszewski', u'Ed Ratcliff', u'Josh Smith', u'Olaf Alfonso', u'Kenny Florian', u'Josh Rafferty']"
Herman Renting,[u'Akira Shoji']
Ron Keslar,"[u'Eric Lawson', u'Josh McDonald', u'Chris Cope']"
Renee Forte,"[u'Francisco Trevino', u'John Makdessi', u'Terry Etim', u'Sergio Moraes']"
Casey Huffman,[u'John Salter']
Kazushi Sakuraba,"[u'Yan Cabral', u'Marius Zaromskis', u'Jason Miller', u'Ralek Gracie', u'Zelg Galesic', u'Rubin Williams', u'Kiyoshi Tamura', u'Melvin Manhoef', u'Andrews Nakahara', u'Masakatsu Funaki', u'Katsuyori Shibata', u'Royce Gracie', u'Yurij Kiseliov', u'Yoshihiro Akiyama', u'Kestutis Smirnovas', u'Ikuhisa Minowa', u'Ken Shamrock', u'Ricardo Arona', u'Antonio Schembri', u'Kevin Randleman', u'Wanderlei Silva', u'Antonio Schembri', u'Gilles Arsene', u'Mirko Filipovic', u'Wanderlei Silva', u'Quinton Jackson', u'Wanderlei Silva', u'Ryan Gracie', u'Shannon Ritch', u'Renzo Gracie', u'Igor Vovchanchyn', u'Royce Gracie', u'Guy Mezger', u'Royler Gracie', u'Anthony Macias', u'Vitor Belfort', u'Allan Goes', u'Carlos Newton', u'Vernon White', u'Marcus Silveira', u'Marcus Silveira']"
Mackens Semerzier,"[u'Daniel Pineda', u'Robert Peralta', u'Alex Caceres', u'Cub Swanson', u'Javier Vazquez', u'Deividas Taurosevicius', u'Wagnney Fabiano']"
Ednaldo Oliveira,"[u'Francimar Barroso', u'Gabriel Gonzaga']"
Ian Loveland,"[u'Yves Jabouin', u'Joseph Benavidez', u'Tyler Toner']"
