,name,url,wins,losses,draws,height,weight,division,reach,stance,dob,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
0,Danny Abbadi,http://www.fightmetric.com/fighter-details/15df64c02b6b0fde,4,6,0,"5' 11""",155 lbs.,Lightweight,--,Orthodox,"Jul 03, 1983",3.29,38%,4.41,57%,0.00,0%,77%,0.0
1,David Abbott,http://www.fightmetric.com/fighter-details/b361180739bed4b0,10,14,0,"6' 0""",265 lbs.,Heavyweight,--,Switch,--,1.35,30%,3.55,38%,1.07,33%,66%,0.0
2,Hiroyuki Abe,http://www.fightmetric.com/fighter-details/c0ed7b208197e8de,8,14,3,"5' 6""",145 lbs.,Featherweight,--,Orthodox,--,1.71,36%,3.11,63%,0.00,0%,33%,0.0
3,Papy Abedi,http://www.fightmetric.com/fighter-details/c9f6385af6df66d7,9,3,0,"5' 11""",185 lbs.,Middleweight,"74""",Southpaw,"Jun 30, 1978",2.80,55%,3.15,48%,3.47,57%,50%,1.3
4,Ricardo Abreu,http://www.fightmetric.com/fighter-details/aa6e591c2a2cdecd,5,1,0,"5' 11""",185 lbs.,Middleweight,"73""",Orthodox,"Apr 27, 1984",5.41,32%,2.79,67%,0.00,0%,100%,2.5
5,Daniel Acacio,http://www.fightmetric.com/fighter-details/1c5879330d42255f,26,12,0,"5' 8""",180 lbs.,Middleweight,--,Orthodox,"Dec 27, 1977",3.52,36%,2.85,62%,0.33,20%,81%,0.0
6,Scott Adams,http://www.fightmetric.com/fighter-details/2620f3eb21c79614,8,1,0,"6' 0""",225 lbs.,Heavyweight,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
7,Sam Adkins,http://www.fightmetric.com/fighter-details/0e9869d712e81f8f,7,20,2,"6' 3""",225 lbs.,Heavyweight,--,Orthodox,"Apr 26, 1965",0.00,0%,0.00,0%,0.00,0%,0%,0.0
8,Nick Agallar,http://www.fightmetric.com/fighter-details/ebc5af72ad5a28cb,24,6,0,"5' 8""",155 lbs.,Lightweight,--,Orthodox,"Jan 13, 1979",0.69,11%,4.56,42%,0.00,0%,0%,0.0
9,Marcelo Aguiar,http://www.fightmetric.com/fighter-details/44aa652b181bcf68,2,3,1,"5' 10""",170 lbs.,Welterweight,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
10,Edwin Aguilar,http://www.fightmetric.com/fighter-details/6cadc0a0ba7dc015,22,16,0,"5' 10""",185 lbs.,Middleweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
11,Mike Aina,http://www.fightmetric.com/fighter-details/9e3dbb9c68ed5d1a,12,6,1,"5' 9""",155 lbs.,Lightweight,--,Orthodox,--,2.87,33%,6.33,59%,0.00,0%,71%,0.0
12,Hitomi Akano,http://www.fightmetric.com/fighter-details/2eada40ac8801559,18,8,0,"5' 4""",135 lbs.,Bantamweight,--,Southpaw,"Jul 27, 1974",0.59,45%,2.58,55%,0.00,0%,8%,0.5
13,Omari Akhmedov,http://www.fightmetric.com/fighter-details/16690d100f995f8f,13,2,0,"6' 0""",170 lbs.,Welterweight,"73""",Orthodox,"Oct 12, 1987",2.46,55%,4.19,29%,1.85,20%,0%,1.8
14,Yoshihiro Akiyama,http://www.fightmetric.com/fighter-details/b0550072e5f0afa7,14,5,0,"5' 10""",170 lbs.,Welterweight,"73""",Orthodox,"Jul 29, 1975",2.87,39%,3.51,58%,2.55,69%,94%,1.1
15,Razak Al-Hassan,http://www.fightmetric.com/fighter-details/38b50fd1e1b5b656,11,4,0,"6' 2""",205 lbs.,Light Heavyweight,--,Orthodox,"May 14, 1982",2.31,32%,2.10,68%,0.79,20%,57%,0.0
16,Mostapha Al-Turk,http://www.fightmetric.com/fighter-details/1cf1310684a841f5,6,6,0,"6' 2""",245 lbs.,Heavyweight,"77""",Orthodox,"Jul 14, 1973",1.36,19%,3.61,53%,0.00,0%,0%,0.0
17,Javi Alanis,http://www.fightmetric.com/fighter-details/2144954270be834d,0,3,0,"5' 6""",135 lbs.,Bantamweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
18,Brett Albee,http://www.fightmetric.com/fighter-details/9b28292abe3166d5,3,1,0,--,225 lbs.,Heavyweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
